epoch,global_step,lr,loss_mask_bce,loss_mask_dice,loss_mask_cls,loss_img_auth,loss_auth_penalty,loss_total,w_mask_bce,w_mask_dice,w_mask_cls,w_img_auth,w_auth_penalty
1,0,0.0001,0.7039111852645874,0.9636260271072388,0.4943445324897766,0.6631929278373718,1.4302545423561241e-06,2.825076103210449,1.0,1.0,1.0,1.0,1.0
1,1,0.0001,0.03364460915327072,0.9999997615814209,0.33867621421813965,0.7080941200256348,6.009950837774364e-14,2.0804147720336914,1.0,1.0,1.0,1.0,1.0
1,2,0.0001,0.6759042143821716,0.9999999403953552,0.3064233958721161,0.6995184421539307,2.5045343154017295e-17,2.6818461418151855,1.0,1.0,1.0,1.0,1.0
1,3,0.0001,0.013979820534586906,0.980869472026825,0.20217743515968323,0.6995171308517456,1.0484371989044267e-16,1.8965438604354858,1.0,1.0,1.0,1.0,1.0
1,4,0.0001,0.1503310203552246,0.9309953451156616,0.5739498734474182,0.6923263072967529,0.0,2.347602605819702,1.0,1.0,1.0,1.0,1.0
1,5,0.0001,0.5960524082183838,0.8966800570487976,0.33912521600723267,0.6937758326530457,3.827522189471489e-16,2.5256335735321045,1.0,1.0,1.0,1.0,1.0
1,6,0.0001,0.5758682489395142,0.9999402761459351,0.19696694612503052,0.7047082185745239,1.9015980655726423e-18,2.4774837493896484,1.0,1.0,1.0,1.0,1.0
1,7,0.0001,0.7937248349189758,0.9999980926513672,0.4967110753059387,0.6918826103210449,7.741038900019664e-21,2.982316493988037,1.0,1.0,1.0,1.0,1.0
1,8,0.0001,0.20719920098781586,0.9999956488609314,0.8664634227752686,0.6612963676452637,0.0,2.734954595565796,1.0,1.0,1.0,1.0,1.0
1,9,0.0001,0.2557069659233093,0.999866783618927,0.42883118987083435,0.6695497035980225,2.197847321886951e-20,2.353954792022705,1.0,1.0,1.0,1.0,1.0
1,10,0.0001,0.8549528121948242,0.9999657869338989,0.25051286816596985,0.6981832385063171,3.5042975931728003e-16,2.803614854812622,1.0,1.0,1.0,1.0,1.0
1,11,0.0001,0.027002792805433273,0.9908241033554077,0.17225205898284912,0.7086395025253296,1.0862233963855605e-13,1.8987184762954712,1.0,1.0,1.0,1.0,1.0
1,12,0.0001,3.3434736728668213,0.9921010732650757,0.4955010414123535,0.6386656165122986,0.0,5.469741344451904,1.0,1.0,1.0,1.0,1.0
1,13,0.0001,0.06035664677619934,0.9999829530715942,0.18170292675495148,0.7052841186523438,3.7861398654377883e-16,1.94732666015625,1.0,1.0,1.0,1.0,1.0
1,14,0.0001,0.5792422294616699,0.999999463558197,0.48088762164115906,0.6368956565856934,0.0,2.6970250606536865,1.0,1.0,1.0,1.0,1.0
1,15,0.0001,2.065439224243164,1.0,0.4791950285434723,0.6475167274475098,0.0,4.192151069641113,1.0,1.0,1.0,1.0,1.0
1,16,0.0001,-0.0,-0.0,0.10858388990163803,0.7951793670654297,5.0063668702222836e-20,0.9037632346153259,1.0,1.0,1.0,1.0,1.0
1,17,0.0001,0.8685585856437683,0.9999998807907104,0.25386548042297363,0.7105998992919922,1.3525041979953457e-20,2.8330237865448,1.0,1.0,1.0,1.0,1.0
1,18,0.0001,0.8738468289375305,1.0,0.43035995960235596,0.6326035261154175,0.0,2.9368104934692383,1.0,1.0,1.0,1.0,1.0
1,19,0.0001,0.45049068331718445,1.0,0.3315791189670563,0.7160753011703491,5.633201489996011e-25,2.49814510345459,1.0,1.0,1.0,1.0,1.0
1,20,0.0001,0.22454069554805756,0.9999999403953552,0.262106716632843,0.6939244270324707,1.6779824816215407e-24,2.1805717945098877,1.0,1.0,1.0,1.0,1.0
